title,author,genres,synopsis,publisher,year,isbn,cover,url
SPQR: A History of Ancient Rome,Mary Beard,"['History', 'Nonfiction', 'Ancient History', 'Historical', 'Italy', 'Audiobook', 'Classics']","In SPQR, an instant classic, Mary Beard narrates the history of Rome ""with passion and without technical jargon"" and demonstrates how ""a slightly shabby Iron Age village"" rose to become the ""undisputed hegemon of the Mediterranean"" (Wall Street Journal). Hailed by critics as animating ""the grand sweep and the intimate details that bring the distant past vividly to life"" (Economist) in a way that makes ""your hair stand on end"" (Christian Science Monitor) and spanning nearly a thousand years of history, this ""highly informative, highly readable"" (Dallas Morning News) work examines not just how we think of ancient Rome but challenges the comfortable historical perspectives that have existed for centuries. With its nuanced attention to class, democratic struggles, and the lives of entire groups of people omitted from the historical narrative for centuries, will to shape our view of Roman history for decades to come.",Liveright,2016,9781631492228,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1470421195i/28789711.jpg,https://www.goodreads.com/book/show/28789711-spqr
The Name of the Wind,Patrick Rothfuss,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Magic', 'Science Fiction Fantasy', 'Adult']","Told in Kvothe's own voice, this is the tale of the magically gifted young man who grows to be the most notorious wizard his world has ever seen.",Penguin Group DAW,2007,9780756404079,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1270352123i/186074.jpg,https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind
The Purpose Driven Life: What on Earth Am I Here for?,Rick Warren,"['Christian', 'Nonfiction', 'Religion', 'Self Help', 'Spirituality', 'Christianity', 'Faith']","A #1 New York Times bestseller, The Purpose Driven Life will help you understand why you are alive and reveal God's amazing plan for you both here and now, and for eternity. Rick Warren will guide you through a personal forty-day spiritual journey that will transform your answer to life's most important question: What on earth am I here for? Knowing God's purpose for creating you will reduce your stress, focus your energy, simplify your decisions, give meaning to your life, and most important, prepare you for eternity.",Zondervan Publishing Company,2007,9780310276999,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1440111652i/56495.jpg,https://www.goodreads.com/book/show/56495.The_Purpose_Driven_Life
The Psychopath Test: A Journey Through the Madness Industry,Jon Ronson,"['Nonfiction', 'Psychology', 'Science', 'Mental Health', 'Audiobook', 'Sociology', 'Journalism']","In this madcap journey, a bestselling journalist investigates psychopaths and the industry of doctors, scientists, and everyone else who studies them.",Riverhead Books,2012,9781594485756,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1364166270i/12391521.jpg,https://www.goodreads.com/book/show/12391521-the-psychopath-test
The Case for Christ,Lee Strobel,"['Christian', 'Nonfiction', 'Religion', 'Christianity', 'Faith', 'Theology', 'Spirituality']","There's little question that he actually lived. But miracles? Rising from the dead? Some of the stories you hear about him sound like just that - stories. A reasonable person would never believe them, let alone the claim that he's the only way to God! But a reasonable person would also make sure that he or she understood the facts before jumping to conclusions. That's why Lee Strobel - an award-winning legal journalist with a knack for asking tough questions - decided to investigate Jesus for himself. An atheist, Strobel felt certain his findings would bring Christianity's claims about Jesus tumbling down like a house of cards. He was in for the surprise of his life. Join him as he retraces his journey from skepticism to faith. You'll consult expert testimony as you sift through the truths that history, science, psychiatry, literature, and religion reveal. Like Strobel, you'll be amazed at the evidence - how much there is, how strong it is, and what it says. The facts are in. What will your verdict be in The Case for Christ?",Zondervan,1998,9780310226055,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1448776489i/73186.jpg,https://www.goodreads.com/book/show/73186.The_Case_for_Christ
Zealot: The Life and Times of Jesus of Nazareth,Reza Aslan,"['History', 'Nonfiction', 'Religion', 'Biography', 'Christianity', 'Audiobook', 'Spirituality']","From the internationally bestselling author of No god but God comes a fascinating, provocative, and meticulously researched biography that challenges long-held assumptions about the man we know as Jesus of Nazareth.",Random House,2013,9782523470201,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1367929567i/17568801.jpg,https://www.goodreads.com/book/show/17568801-zealot
In the Heart of the Sea: The Tragedy of the Whaleship Essex,Nathaniel Philbrick,"['Nonfiction', 'History', 'Adventure', 'Survival', 'Historical', 'American History', 'Audiobook']","""With its huge, scarred head halfway out of the water and its tail beating the ocean into a white-water wake more than forty feet across, the whale approached the ship at twice its original speed - at least six knots. With a tremendous cracking and splintering of oak, it struck the ship just beneath the anchor secured at the cat-head on the port bow...""",Penguin Books,2001,9780141001821,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1335902168i/17780.jpg,https://www.goodreads.com/book/show/17780.In_the_Heart_of_the_Sea
"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",Karen Armstrong,"['Religion', 'History', 'Nonfiction', 'Philosophy', 'Islam', 'Spirituality', 'Theology']","Over 700,000 copies of the original hardcover and paperback editions of this stunningly popular book have been sold. Karen Armstrong's superbly readable exploration of how the three dominant monotheistic religions of the world—Judaism, Christianity, and Islam—have shaped and altered the conception of God is a tour de force. One of Britain's foremost commentators on religious affairs, Armstrong traces the history of how men and women have perceived and experienced God, from the time of Abraham to the present. From classical philosophy and medieval mysticism to the Reformation, the Enlightenment, and the modern age of skepticism, Armstrong performs the near miracle of distilling the intellectual history of monotheism into one compelling volume.",Gramercy,2004,9780517223123,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386924363i/3873.jpg,https://www.goodreads.com/book/show/3873.A_History_of_God
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,"['Nonfiction', 'Self Help', 'Psychology', 'Business', 'Personal Development', 'Productivity', 'Audiobook']","A young woman walks into a laboratory. Over the past two years, she has transformed almost every aspect of her life. She has quit smoking, run a marathon, and been promoted at work. The patterns inside her brain, neurologists discover, have fundamentally changed.",Random House,2012,9781400069286,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1545854312i/12609433.jpg,https://www.goodreads.com/book/show/12609433-the-power-of-habit
Cleopatra: A Life,Stacy Schiff,"['History', 'Biography', 'Nonfiction', 'Egypt', 'Historical', 'Biography Memoir', 'Audiobook']","The Pulitzer Prize-winning biographer brings to life the most intriguing woman in the history of the world: Cleopatra, the last queen of Egypt.","Little, Brown and Company",2010,9780316001922,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1294098301i/7968243.jpg,https://www.goodreads.com/book/show/7968243-cleopatra
Emotional Intelligence: Why It Can Matter More Than IQ,Daniel Goleman,"['Psychology', 'Nonfiction', 'Self Help', 'Business', 'Personal Development', 'Science', 'Leadership']","The groundbreaking book that redefines what it means to be smart, with a new introduction by the author.",Bantam,2006,9780553804911,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388185411i/26329.jpg,https://www.goodreads.com/book/show/26329.Emotional_Intelligence
The Radium Girls: The Dark Story of America’s Shining Women,Kate Moore,"['Nonfiction', 'History', 'Science', 'Audiobook', 'Biography', 'Historical', 'Feminism']",The incredible true story of the women who fought America's Undark danger,Sourcebooks,2017,9781492649359,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1496007867i/31409135.jpg,https://www.goodreads.com/book/show/31409135-the-radium-girls
"The Professor and the Madman: A Tale of Murder, Insanity and the Making of the Oxford English Dictionary",Simon Winchester,"['Nonfiction', 'History', 'Biography', 'Language', 'Books About Books', 'Historical', 'True Crime']","The Professor and the Madman, masterfully researched and eloquently written, is an extraordinary tale of madness, genius, and the incredible obsessions of two remarkable men that led to the making of the Oxford English Dictionary -- and literary history. The compilation of the OED, begun in 1857, was one of the most ambitious projects ever undertaken. As definitions were collected, the overseeing committee, led by Professor James Murray, discovered that one man, Dr. W. C. Minor, had submitted more than ten thousand. When the committee insisted on honoring him, a shocking truth came to light: Dr. Minor, an American Civil War veteran, was also an inmate at an asylum for the criminally insane.",Harper Perennial,2005,9780060839789,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1407110918i/25019.jpg,https://www.goodreads.com/book/show/25019.The_Professor_and_the_Madman
The Rape of Nanking: The Forgotten Holocaust of World War II,Iris Chang,"['History', 'Nonfiction', 'China', 'War', 'Japan', 'World War II', 'Historical']","In December 1937, the Japanese army invaded the ancient city of Nanking, systematically raping, torturing, and murdering more than 300,000 Chinese civilians.",Penguin Books,1998,9780140277449,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348687411i/95784.jpg,https://www.goodreads.com/book/show/95784.The_Rape_of_Nanking
"The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz",Erik Larson,"['History', 'Nonfiction', 'Biography', 'World War II', 'War', 'Audiobook', 'Historical']","On Winston Churchill's first day as prime minister, Adolf Hitler invaded Holland and Belgium. Poland and Czechoslovakia had already fallen, and the Dunkirk evacuation was just two weeks away. For the next twelve months, Hitler would wage a relentless bombing campaign, killing 45,000 Britons. It was up to Churchill to hold his country together and persuade President Franklin Roosevelt that Britain was a worthy ally--and willing to fight to the end.",Crown,2020,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1567638164l/51187948.jpg,https://www.goodreads.com/book/show/51187948-the-splendid-and-the-vile
Attached: The New Science of Adult Attachment and How It Can Help You Find—and Keep—Love,Amir Levine,"['Nonfiction', 'Psychology', 'Self Help', 'Relationships', 'Audiobook', 'Personal Development', 'Mental Health']",Is there a science to love?,Tarcher,2010,9781585428489,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1311705552i/9547888.jpg,https://www.goodreads.com/book/show/9547888-attached
